,City,State,2021Estimate,2010_census,Change_percent
200,Queimados,Rio de Janeiro,152311,137962,10.4
201,Botucatu,São Paulo,149718,127328,17.58
202,Balneário Camboriú,Santa Catarina,149227,108089,38.06
203,Sinop,Mato Grosso,148960,113099,31.71
204,Araucária,Paraná,148522,119123,24.68
205,Atibaia,São Paulo,145378,126603,14.83
206,Santana de Parnaíba,São Paulo,145073,108813,33.32
207,Toledo,Paraná,144601,119313,21.19
208,Sapucaia do Sul,Rio Grande do Sul,142508,130957,8.82
209,Garanhuns,Pernambuco,141347,129408,9.23
210,Teófilo Otoni,Minas Gerais,141269,134745,4.84
211,Cametá,Pará,140814,120896,16.48
212,Brusque,Santa Catarina,140597,105503,33.26
213,Vitória de Santo Antão,Pernambuco,140389,129974,8.01
214,Barbacena,Minas Gerais,139061,126284,10.12
215,Santa Rita,Paraíba,138093,120310,14.78
216,Sabará,Minas Gerais,137877,126269,9.19
217,Varginha,Minas Gerais,137608,123081,11.8
218,Apucarana,Paraná,137438,120919,13.66
219,Simões Filho,Bahia,137117,118047,16.15
220,Araras,São Paulo,136739,118843,15.06
221,Itaguaí,Rio de Janeiro,136547,109091,25.17
222,Araruama,Rio de Janeiro,136109,112008,21.52
223,Marituba,Pará,135812,108246,25.47
224,São Félix do Xingu,Pará,135732,91340,48.6
225,Campo Largo,Paraná,135678,112377,20.73
226,Pinhais,Paraná,134788,117008,15.2
227,São Mateus,Espírito Santo,134629,109028,23.48
228,Crato,Ceará,133913,121428,10.28
229,Resende,Rio de Janeiro,133244,119769,11.25
230,Valinhos,São Paulo,133169,106793,24.7
231,Cubatão,São Paulo,132521,118720,11.62
232,Santa Cruz do Sul,Rio Grande do Sul,132271,118374,11.74
233,Cachoeirinha,Rio Grande do Sul,132144,118278,11.72
234,Trindade,Goiás,132006,104488,26.34
235,Vespasiano,Minas Gerais,131849,104527,26.14
236,Itapipoca,Ceará,131687,116065,13.46
237,Maranguape,Ceará,131677,113561,15.95
238,Ji-Paraná,Rondônia,131026,116610,12.36
239,Conselheiro Lafaiete,Minas Gerais,130584,116512,12.08
240,Bragança,Pará,130122,113227,14.92
