,Country,1980,1985,1990,1995,2000,2008,2009,2010,2011,2012,2013,2014,2015,2018
115,Liberia,1.1,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
116,Libya,8.4,8.1,8.3,9.3,8.8,9.3,9.5,10.0,6.4,8.5,9.1,9.2,8.3,8.7
117,Liechtenstein,0.0,0.0,0.0,0.0,0.0,1.8,1.4,1.5,1.3,1.3,1.4,1.2,0.0,0.0
118,Lithuania,0.0,0.0,0.0,4.5,3.5,4.7,4.0,4.3,4.6,4.6,4.3,4.4,4.6,5.0
119,Luxembourg,30.3,25.0,26.2,20.4,18.9,22.4,20.9,21.6,21.1,20.1,18.5,17.4,16.5,16.9
120,Macau,2.2,2.6,3.0,3.2,3.8,2.6,3.9,2.6,2.6,2.3,2.1,2.2,1.8,2.0
121,North Macedonia,0.0,0.0,0.0,5.5,5.9,4.5,4.2,4.2,4.5,4.3,3.8,3.6,3.8,3.9
122,Madagascar,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
123,Malawi,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
124,Malaysia,2.0,2.3,3.1,5.9,5.4,7.5,7.2,7.8,7.7,7.5,8.0,8.0,8.1,8.0
125,Maldives,0.3,0.3,0.8,1.0,1.6,2.4,2.5,2.6,2.6,2.9,2.7,3.3,2.0,2.0
126,Mali,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
127,Malta,3.2,3.6,6.1,5.6,5.3,6.3,5.8,6.2,6.1,6.4,5.5,5.4,4.0,3.5
128,Marshall Islands,0.0,0.0,1.0,1.3,1.5,1.9,2.0,2.0,2.0,1.9,1.9,1.9,0.0,0.0
129,Martinique,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.4
130,Mauritania,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.7
